id,date,corrib_production,moffat,ROI_imports_via_interconnector,total
1,2018-01-01,102.065,71.3111,27.1522,200.529
2,2018-01-02,101.202,72.3,31.379,204.881
3,2018-01-03,101.289,94.0222,51.2241,246.535
4,2018-01-04,102.012,128.0,77.6498,307.662
5,2018-01-05,101.725,127.9,84.7665,314.391
6,2018-01-06,101.639,115.733,69.26,286.633
7,2018-01-07,58.5293,164.933,118.906,342.369
8,2018-01-08,101.624,134.067,78.4855,314.176
9,2018-01-09,101.683,118.111,76.8627,296.657
10,2018-01-10,101.618,151.678,91.1597,344.455
11,2018-01-11,101.479,134.344,81.0128,316.836
12,2018-01-12,101.203,72.0111,35.6676,208.882
13,2018-01-13,101.141,89.1889,55.6606,245.991
14,2018-01-14,100.893,60.9556,24.5143,186.362
15,2018-01-15,100.881,78.1111,33.3762,212.368
16,2018-01-16,66.965,140.422,89.4822,296.869
17,2018-01-17,102.123,111.9,56.7213,270.745
18,2018-01-18,101.501,123.556,72.3058,297.362
19,2018-01-19,100.939,146.922,89.1394,337.0
20,2018-01-20,100.826,127.022,75.4858,303.334
21,2018-01-21,100.782,81.7556,40.7607,223.298
22,2018-01-22,100.696,86.2556,44.8529,231.805
23,2018-01-23,100.644,71.6667,22.2528,194.563
24,2018-01-24,100.543,84.1556,34.5554,219.254
25,2018-01-25,100.688,106.956,59.3852,267.029
26,2018-01-26,100.334,126.144,72.6809,299.16
27,2018-01-27,100.241,55.3333,21.4966,177.071
28,2018-01-28,100.138,49.9444,21.8406,171.923
29,2018-01-29,100.154,116.511,77.2031,293.868
30,2018-01-30,91.2001,112.289,70.2367,273.726
31,2018-01-31,100.498,100.222,51.305,252.025
32,2018-02-01,91.1839,119.567,67.9512,278.702
33,2018-02-02,100.02,126.578,85.025,311.622
34,2018-02-03,100.041,109.956,53.068,263.064
35,2018-02-04,99.7572,117.756,72.1513,289.664
36,2018-02-05,99.6153,157.433,96.1741,353.223
37,2018-02-06,99.4913,148.8,92.152,340.443
38,2018-02-07,99.3406,158.489,96.4272,354.257
39,2018-02-08,99.2817,124.411,71.1661,294.859
40,2018-02-09,99.0881,121.189,70.7242,291.001
41,2018-02-10,99.1323,82.8111,37.2909,219.234
42,2018-02-11,99.0089,110.733,63.5127,273.255
43,2018-02-12,98.9166,111.411,61.7537,272.081
44,2018-02-13,99.0151,117.522,65.5114,282.049
45,2018-02-14,98.949,91.5111,37.8574,228.318
46,2018-02-15,98.9535,107.7,60.2432,266.897
47,2018-02-16,98.5954,120.522,74.7523,293.87
48,2018-02-17,98.5463,131.544,78.8069,308.898
49,2018-02-18,98.3755,117.978,64.2178,280.571
50,2018-02-19,98.3966,124.5,73.7119,296.609
51,2018-02-20,98.3217,134.933,79.5784,312.833
52,2018-02-21,93.9625,138.367,81.9756,314.305
53,2018-02-22,98.2797,101.6,62.1001,261.98
54,2018-02-23,98.3031,86.5333,45.2074,230.044
55,2018-02-24,97.9376,105.267,53.5265,256.731
56,2018-02-25,97.7465,76.9444,38.4721,213.163
57,2018-02-26,97.6055,137.489,84.5104,319.605
58,2018-02-27,94.681,159.2,93.723,347.604
59,2018-02-28,97.4982,139.128,91.0354,327.661
60,2018-03-01,97.2369,129.6,78.2931,305.13
61,2018-03-02,97.2912,116.344,68.1364,281.772
62,2018-03-03,97.296,106.078,62.9852,266.359
63,2018-03-04,97.2063,121.089,87.283,305.578
64,2018-03-05,97.0891,170.587,118.668,386.343
65,2018-03-06,92.4841,169.678,108.046,370.208
66,2018-03-07,95.3981,150.289,87.3115,332.999
67,2018-03-08,96.865,157.344,97.8991,352.109
68,2018-03-09,92.5216,142.444,85.4948,320.461
69,2018-03-10,94.9516,99.1556,50.1552,244.262
70,2018-03-11,96.4353,118.433,65.4567,280.325
71,2018-03-12,67.1549,167.733,115.63,350.518
72,2018-03-13,96.3874,94.2444,52.5326,243.164
73,2018-03-14,96.3481,84.4667,38.9827,219.798
74,2018-03-15,96.2656,95.7111,56.3203,248.297
75,2018-03-16,96.1779,100.944,55.9701,253.092
76,2018-03-17,96.0722,82.3222,49.8907,228.285
77,2018-03-18,96.0118,114.611,62.9587,273.582
78,2018-03-19,96.012,133.378,86.1336,315.523
79,2018-03-20,95.9427,164.322,113.0,373.265
80,2018-03-21,95.9329,127.556,80.9377,304.426
81,2018-03-22,95.8896,93.8778,50.9468,240.714
82,2018-03-23,90.2067,127.533,84.733,302.473
83,2018-03-24,91.4292,101.189,66.4386,259.057
84,2018-03-25,95.4986,103.033,64.46,262.992
85,2018-03-26,95.297,101.744,61.4055,258.447
86,2018-03-27,95.2627,91.4556,57.0112,243.729
87,2018-03-28,95.188,123.772,76.062,295.022
88,2018-03-29,95.125,138.089,92.3275,325.541
89,2018-03-30,95.0966,138.944,86.814,320.855
90,2018-03-31,94.9791,133.3,77.4076,305.687
91,2018-04-01,94.9291,98.0444,51.7827,244.756
92,2018-04-02,94.9095,120.278,70.702,285.889
93,2018-04-03,94.8314,126.456,72.9101,294.197
94,2018-04-04,94.8321,125.567,78.732,299.131
95,2018-04-05,94.8258,101.989,49.234,246.049
96,2018-04-06,94.8315,101.233,49.1467,245.211
97,2018-04-07,94.8215,141.444,77.4751,313.741
98,2018-04-08,94.8141,127.622,71.1967,293.633
99,2018-04-09,48.3667,159.1,117.038,324.505
100,2018-04-10,89.0105,131.811,86.3281,307.15
101,2018-04-11,69.7395,158.333,114.956,343.029
102,2018-04-12,94.3369,163.633,103.133,361.103
103,2018-04-13,90.5294,153.411,93.8091,337.75
104,2018-04-14,94.4204,76.0556,37.3838,207.86
105,2018-04-15,94.4287,57.8889,32.0401,184.358
106,2018-04-16,94.4011,68.8778,37.7419,201.021
107,2018-04-17,94.341,50.2889,25.3652,169.995
108,2018-04-18,94.3503,48.0222,24.8534,167.226
109,2018-04-19,94.3624,83.3333,49.1718,226.868
110,2018-04-20,94.3664,96.2,58.964,249.53
111,2018-04-21,94.2347,79.4111,44.4399,218.086
112,2018-04-22,94.1488,48.7333,14.0306,156.913
113,2018-04-23,94.0689,68.1333,28.9888,191.191
114,2018-04-24,93.9192,105.2,60.0808,259.2
115,2018-04-25,93.8741,75.3333,36.4148,205.622
116,2018-04-26,93.8907,98.6111,63.1616,255.663
117,2018-04-27,93.7284,127.122,79.9576,300.808
118,2018-04-28,93.6674,124.889,73.6648,292.221
119,2018-04-29,93.4809,107.978,66.068,267.527
120,2018-04-30,93.4007,111.883,65.3657,270.65
121,2018-05-01,93.4503,88.7444,40.373,222.568
122,2018-05-02,93.3734,91.5111,40.6352,225.52
123,2018-05-03,93.2435,110.333,57.9011,261.478
124,2018-05-04,93.1329,111.411,61.4823,266.026
125,2018-05-05,88.3137,81.5667,43.5304,213.411
126,2018-05-06,35.4552,145.056,97.9646,278.475
127,2018-05-07,92.864,79.8778,34.1979,206.94
128,2018-05-08,92.7681,79.5222,36.138,208.428
129,2018-05-09,92.7903,74.6889,32.0906,199.57
130,2018-05-10,92.7246,81.6111,39.5674,213.903
131,2018-05-11,92.6364,98.8111,70.6375,262.085
132,2018-05-12,92.6068,118.011,75.9484,286.566
133,2018-05-13,92.5285,103.389,62.5259,258.443
134,2018-05-14,92.4381,134.233,87.6992,314.371
135,2018-05-15,92.3603,92.1333,46.3726,230.866
136,2018-05-16,92.3567,81.7333,48.2862,222.376
137,2018-05-17,92.2926,97.7889,65.7864,255.868
138,2018-05-18,92.2318,94.0333,54.1342,240.399
139,2018-05-19,91.9411,48.7667,23.0577,163.765
140,2018-05-20,92.1607,69.1331,38.308,199.602
141,2018-05-21,92.0379,93.3,54.8896,240.227
142,2018-05-22,91.9924,134.844,86.7775,313.614
143,2018-05-23,91.7763,129.578,81.8675,303.222
144,2018-05-24,91.659,134.467,83.0029,309.129
145,2018-05-25,91.6728,82.2111,46.9424,220.826
146,2018-05-26,91.4968,56.1222,31.3102,178.929
147,2018-05-27,91.399,73.6778,52.5689,217.646
148,2018-05-28,91.362,116.083,84.0267,291.472
149,2018-05-29,91.2112,97.8889,76.2056,265.306
150,2018-05-30,91.2169,109.722,78.8064,279.746
151,2018-05-31,91.2709,120.433,83.1929,294.897
152,2018-06-01,91.1542,116.511,81.0084,288.674
153,2018-06-02,91.1528,107.589,76.1505,274.892
154,2018-06-03,52.2205,144.667,112.638,309.525
155,2018-06-04,90.8872,107.997,74.2208,273.105
156,2018-06-05,90.8131,109.889,82.6387,283.341
157,2018-06-06,90.7675,96.5,78.3236,265.591
158,2018-06-07,90.8381,97.9,75.7761,264.514
159,2018-06-08,90.6435,102.022,78.6688,271.335
160,2018-06-09,90.5725,87.8889,71.8945,250.356
161,2018-06-10,90.5129,91.9333,70.9194,253.366
162,2018-06-11,85.0953,90.9556,79.2283,255.279
163,2018-06-12,90.7893,92.2333,77.7404,260.763
164,2018-06-13,90.4503,54.6667,25.5555,170.672
165,2018-06-14,90.3931,57.5333,24.1477,172.074
166,2018-06-15,86.491,81.8222,50.5733,218.886
167,2018-06-16,90.6684,69.7,36.9399,197.308
168,2018-06-17,90.3973,59.3444,28.8401,178.582
169,2018-06-18,84.5757,90.2,61.2925,236.068
170,2018-06-19,90.4243,73.9333,44.3922,208.75
171,2018-06-20,90.1051,53.0667,30.6977,173.869
172,2018-06-21,89.8579,79.7889,63.2403,232.887
173,2018-06-22,86.2887,104.367,79.3928,270.048
174,2018-06-23,90.1069,100.889,70.495,261.491
175,2018-06-24,89.7113,103.422,74.3827,267.516
176,2018-06-25,89.6739,108.131,76.9384,274.743
177,2018-06-26,89.4177,101.778,75.6064,266.802
178,2018-06-27,89.4645,105.189,79.0645,273.718
179,2018-06-28,89.1154,104.589,75.3069,269.011
180,2018-06-29,89.0811,99.8778,74.7899,263.749
181,2018-06-30,89.1085,82.6222,62.5595,234.29
182,2018-07-01,89.4401,46.6222,23.7267,159.789
183,2018-07-02,89.244,72.8,47.3597,209.404
184,2018-07-03,88.8236,89.6667,60.4731,238.963
185,2018-07-04,89.0428,89.3778,61.9041,240.325
186,2018-07-05,89.0929,103.456,76.6341,269.182
187,2018-07-06,88.767,98.1444,77.1637,264.075
188,2018-07-07,88.7914,88.7222,64.6845,242.198
189,2018-07-08,88.702,94.5667,63.6838,246.952
190,2018-07-09,88.7916,109.589,73.7657,272.146
191,2018-07-10,88.6944,105.4,74.3627,268.457
192,2018-07-11,88.6784,107.489,75.741,271.908
193,2018-07-12,88.5657,117.533,84.1848,290.284
194,2018-07-13,88.4788,106.745,75.1275,270.351
195,2018-07-14,88.2577,69.5889,41.8273,199.674
196,2018-07-15,88.4246,85.8222,52.681,226.928
197,2018-07-16,88.3735,113.078,81.0706,282.522
198,2018-07-17,88.3149,122.567,90.3925,301.274
199,2018-07-18,88.2571,128.4,92.9326,309.59
200,2018-07-19,88.0856,125.822,88.1688,302.077
201,2018-07-20,88.106,98.6111,70.0772,256.794
202,2018-07-21,87.8874,100.656,64.8354,253.378
203,2018-07-22,87.797,96.0556,63.9753,247.828
204,2018-07-23,87.9417,108.333,77.2135,273.489
205,2018-07-24,87.8039,104.867,70.3549,263.025
206,2018-07-25,87.5788,81.4222,48.2023,217.203
207,2018-07-26,81.4133,84.1111,50.0427,215.567
208,2018-07-27,87.7364,88.1889,60.6843,236.61
209,2018-07-28,87.599,63.2,31.1096,181.909
210,2018-07-29,87.5777,69.5667,38.0281,195.172
211,2018-07-30,81.4933,83.2889,48.5499,213.332
212,2018-07-31,87.6261,39.9639,22.2321,149.822
213,2018-08-01,87.3136,56.8444,31.0091,175.167
214,2018-08-02,87.1725,106.733,67.34,261.246
215,2018-08-03,87.2169,107.022,69.3664,263.605
216,2018-08-04,87.1563,102.9,68.6311,258.687
217,2018-08-05,87.0279,83.4556,58.2321,228.715
218,2018-08-06,87.0664,102.611,65.5525,255.23
219,2018-08-07,86.9742,87.6667,63.6929,238.334
220,2018-08-08,86.9859,89.6444,54.6362,231.267
221,2018-08-09,86.9126,104.656,71.321,262.889
222,2018-08-10,86.8759,102.211,67.3113,256.398
223,2018-08-11,86.592,91.5778,56.8497,235.019
224,2018-08-12,86.6805,103.956,68.4117,259.048
225,2018-08-13,86.5008,105.033,66.1077,257.642
226,2018-08-14,86.4818,61.0889,28.7717,176.342
227,2018-08-15,86.5443,58.1778,26.8895,171.612
228,2018-08-16,82.5224,66.8667,34.8224,184.211
229,2018-08-17,86.3407,50.0889,20.4063,156.836
230,2018-08-18,86.452,40.9778,19.3644,146.794
231,2018-08-19,86.34,88.4667,58.4014,233.208
232,2018-08-20,86.1907,115.622,79.8157,281.629
233,2018-08-21,83.5469,102.289,68.242,254.078
234,2018-08-22,86.152,107.211,74.3047,267.668
235,2018-08-23,86.0729,57.8278,29.7368,173.637
236,2018-08-24,85.844,70.1333,35.8401,191.818
237,2018-08-25,85.867,89.1444,53.3076,228.319
238,2018-08-26,85.8792,37.4444,7.69198,131.016
239,2018-08-27,85.7796,69.5111,41.2061,196.497
240,2018-08-28,82.4118,93.3778,65.2703,241.06
241,2018-08-29,85.6148,115.667,78.0613,279.343
242,2018-08-30,85.5478,117.111,81.1237,283.783
243,2018-08-31,85.5017,83.0667,53.6107,222.179
244,2018-09-01,83.8824,94.0111,60.6488,238.542
245,2018-09-02,85.3922,62.4889,35.8018,183.683
246,2018-09-03,85.3756,87.8111,53.8238,227.01
247,2018-09-04,85.2299,102.033,68.1128,255.376
248,2018-09-05,77.7704,109.722,72.0947,259.587
249,2018-09-06,85.0924,88.8556,56.7292,230.677
250,2018-09-07,85.247,93.4333,61.357,240.037
251,2018-09-08,85.2039,69.4334,35.5855,190.223
252,2018-09-09,80.7127,40.1333,14.8434,135.689
253,2018-09-10,11.1937,124.611,97.005,232.81
254,2018-09-11,0.0,152.033,127.102,279.135
255,2018-09-12,0.0,168.456,137.05,305.506
256,2018-09-13,0.0,154.389,125.586,279.975
257,2018-09-14,59.8638,103.522,76.9036,240.29
258,2018-09-15,85.098,66.9778,36.1874,188.263
259,2018-09-16,85.1296,50.2,26.6486,161.978
260,2018-09-17,84.9928,49.8444,23.3839,158.221
261,2018-09-18,84.9468,42.3667,15.4913,142.805
262,2018-09-19,86.3571,47.9111,19.061,153.329
263,2018-09-20,84.7928,109.022,68.0216,261.837
264,2018-09-21,78.7182,69.2889,43.4672,191.474
265,2018-09-22,49.8498,140.411,106.389,296.65
266,2018-09-23,73.0877,91.5778,60.8264,225.492
