time,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,methane
2023-01-01T00:00,136.4,87.5,1965.0,,63.7,39.6,18.0,0.36,31.0,0.0,0.0,
2023-01-01T01:00,135.0,87.5,1708.0,,64.2,38.3,17.0,0.37,28.0,0.0,0.0,
2023-01-01T02:00,134.1,87.8,1427.0,,64.1,37.1,17.0,0.38,24.0,0.0,0.0,
2023-01-01T03:00,136.9,90.8,1290.0,,61.5,37.0,17.0,0.38,21.0,0.0,0.0,
2023-01-01T04:00,140.6,94.1,1195.0,,57.8,37.2,17.0,0.39,19.0,0.0,0.0,
2023-01-01T05:00,135.5,91.0,1277.0,,55.0,38.2,19.0,0.42,15.0,0.0,0.0,
2023-01-01T06:00,134.6,90.8,1647.0,,60.2,38.2,18.0,0.39,14.0,0.0,0.0,
2023-01-01T07:00,145.3,99.2,2166.0,,67.5,38.3,16.0,0.39,13.0,0.05,0.05,
2023-01-01T08:00,154.6,105.7,2539.0,,71.9,40.3,23.0,0.39,11.0,0.45,0.45,
2023-01-01T09:00,150.4,102.9,2278.0,,66.8,44.7,41.0,0.37,10.0,1.3,1.3,
2023-01-01T10:00,132.2,89.9,1743.0,,57.3,50.8,67.0,0.37,9.0,2.4,2.4,
2023-01-01T11:00,112.0,76.4,1133.0,,45.7,57.1,100.0,0.39,8.0,3.2,3.25,
2023-01-01T12:00,102.2,69.8,902.0,,37.3,58.0,123.0,0.43,7.0,3.35,3.4,
2023-01-01T13:00,96.6,66.4,764.0,,29.4,57.2,146.0,0.46,6.0,2.75,2.8,
2023-01-01T14:00,94.5,65.0,840.0,,31.8,59.2,157.0,0.5,5.0,1.75,1.8,
2023-01-01T15:00,93.1,64.0,1091.0,,53.7,64.8,139.0,0.52,5.0,0.8,0.8,
2023-01-01T16:00,94.5,65.2,1506.0,,86.4,72.6,105.0,0.52,4.0,0.2,0.2,
2023-01-01T17:00,152.3,105.2,2391.0,,121.9,71.8,48.0,0.71,6.0,0.0,0.0,
2023-01-01T18:00,201.6,139.7,3602.0,,143.1,84.7,36.0,0.69,6.0,0.0,0.0,
2023-01-01T19:00,244.9,170.0,5331.0,,173.1,102.9,18.0,0.66,6.0,0.0,0.0,
2023-01-01T20:00,283.1,196.5,7418.0,,201.1,125.8,0.0,0.64,6.0,0.0,0.0,
2023-01-01T21:00,314.8,218.9,8535.0,,202.1,138.7,0.0,0.62,6.0,0.0,0.0,
2023-01-01T22:00,339.9,236.6,9462.0,,193.1,150.1,0.0,0.6,6.0,0.0,0.0,
2023-01-01T23:00,354.8,246.8,10155.0,,176.6,160.4,0.0,0.59,6.0,0.0,0.0,
2023-01-02T00:00,357.6,248.7,10072.0,,163.1,162.7,0.0,0.58,6.0,0.0,0.0,
2023-01-02T01:00,354.8,246.8,9591.0,,146.9,161.5,0.0,0.57,5.0,0.0,0.0,
2023-01-02T02:00,348.3,243.1,8837.0,,127.2,157.9,1.0,0.59,5.0,0.0,0.0,
2023-01-02T03:00,340.9,237.0,8198.0,,114.7,153.9,2.0,0.6,5.0,0.0,0.0,
2023-01-02T04:00,332.5,231.4,7473.0,,103.4,148.6,3.0,0.6,5.0,0.0,0.0,
2023-01-02T05:00,300.8,209.1,5654.0,,179.9,118.8,4.0,0.56,5.0,0.0,0.0,
2023-01-02T06:00,326.0,226.8,6894.0,,187.9,125.0,1.0,0.54,5.0,0.0,0.0,
2023-01-02T07:00,357.6,248.7,8621.0,,198.9,133.9,0.0,0.54,6.0,0.05,0.05,
2023-01-02T08:00,394.9,274.7,9502.0,,196.6,142.2,5.0,0.55,6.0,0.4,0.4,
2023-01-02T09:00,338.1,235.6,7777.0,,168.4,144.1,27.0,0.54,6.0,1.2,1.2,
2023-01-02T10:00,215.1,149.0,4827.0,,126.1,143.4,57.0,0.57,7.0,2.1,2.1,
2023-01-02T11:00,155.5,107.3,1643.0,,78.0,136.1,97.0,0.63,7.0,2.8,2.8,
2023-01-02T12:00,138.8,95.7,839.0,,56.2,121.2,126.0,0.67,7.0,2.9,2.9,
2023-01-02T13:00,130.9,90.3,726.0,,41.3,100.9,154.0,0.68,6.0,2.45,2.45,
2023-01-02T14:00,124.8,85.9,1026.0,,41.7,82.8,168.0,0.69,5.0,1.6,1.6,
2023-01-02T15:00,123.4,85.0,1359.0,,68.3,82.8,145.0,0.69,4.0,0.75,0.75,
2023-01-02T16:00,132.7,92.0,1934.0,,110.9,89.9,103.0,0.68,4.0,0.2,0.2,
2023-01-02T17:00,180.2,125.3,2942.0,,154.6,102.5,49.0,0.65,4.0,0.0,0.0,
2023-01-02T18:00,233.3,162.1,4401.0,,163.0,119.8,36.0,0.63,4.0,0.0,0.0,
2023-01-02T19:00,283.1,197.0,6483.0,,174.9,144.3,18.0,0.61,4.0,0.0,0.0,
2023-01-02T20:00,328.8,229.1,8975.0,,183.0,173.5,0.0,0.62,4.0,0.0,0.0,
2023-01-02T21:00,364.1,254.3,10283.0,,176.9,188.4,0.0,0.62,4.0,0.0,0.0,
2023-01-02T22:00,391.2,272.9,11348.0,,164.6,200.2,0.0,0.62,4.0,0.0,0.0,
2023-01-02T23:00,405.1,283.1,12074.0,,147.4,208.1,0.0,0.6,4.0,0.0,0.0,
2023-01-03T00:00,403.3,281.3,11847.0,,136.8,205.6,0.0,0.59,4.0,0.0,0.0,
2023-01-03T01:00,393.0,274.7,11113.0,,126.3,197.6,0.0,0.56,4.0,0.0,0.0,
2023-01-03T02:00,377.2,262.6,9997.0,,113.9,183.5,0.0,0.53,4.0,0.0,0.0,
2023-01-03T03:00,355.8,248.7,9127.0,,106.1,170.8,0.0,0.52,4.0,0.0,0.0,
2023-01-03T04:00,333.4,232.4,8168.0,,99.3,155.9,0.0,0.52,3.0,0.0,0.0,
2023-01-03T05:00,252.4,176.0,4225.0,,157.5,96.3,4.0,0.49,3.0,0.0,0.0,
2023-01-03T06:00,260.8,182.1,4831.0,,160.6,93.3,1.0,0.48,3.0,0.0,0.0,
2023-01-03T07:00,271.0,189.1,5672.0,,164.6,89.0,0.0,0.47,3.0,0.05,0.05,
2023-01-03T08:00,270.1,188.1,5998.0,,157.2,87.2,8.0,0.46,3.0,0.4,0.4,
2023-01-03T09:00,236.1,164.4,4921.0,,131.9,93.8,37.0,0.45,3.0,1.2,1.2,
2023-01-03T10:00,165.3,114.8,3162.0,,96.1,104.2,77.0,0.48,4.0,2.15,2.15,
2023-01-03T11:00,130.9,90.6,1268.0,,56.8,110.3,123.0,0.52,4.0,2.85,2.85,
2023-01-03T12:00,118.3,81.7,781.0,,42.1,101.7,144.0,0.53,4.0,3.0,3.0,
2023-01-03T13:00,112.2,77.5,708.0,,34.4,86.3,159.0,0.54,5.0,2.5,2.5,
2023-01-03T14:00,107.8,74.3,845.0,,35.5,68.9,159.0,0.55,5.0,1.65,1.65,
2023-01-03T15:00,102.4,70.3,1035.0,,49.0,63.7,135.0,0.55,5.0,0.8,0.8,
2023-01-03T16:00,103.1,70.8,1364.0,,71.2,61.4,96.0,0.53,5.0,0.2,0.2,
2023-01-03T17:00,127.1,88.0,1787.0,,99.9,58.2,57.0,0.54,4.0,0.0,0.0,
2023-01-03T18:00,146.2,100.8,2001.0,,100.6,54.4,48.0,0.52,5.0,0.0,0.0,
2023-01-03T19:00,145.8,100.1,2304.0,,101.5,49.0,35.0,0.55,6.0,0.0,0.0,
