,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index
0,2023-01-01 00:00:00,136.4,87.5,1965.0,63.7,39.6,18.0,0.36,31.0,0.0
1,2023-01-01 01:00:00,135.0,87.5,1708.0,64.2,38.3,17.0,0.37,28.0,0.0
2,2023-01-01 02:00:00,134.1,87.8,1427.0,64.1,37.1,17.0,0.38,24.0,0.0
3,2023-01-01 03:00:00,136.9,90.8,1290.0,61.5,37.0,17.0,0.38,21.0,0.0
4,2023-01-01 04:00:00,140.6,94.1,1195.0,57.8,37.2,17.0,0.39,19.0,0.0
5,2023-01-01 05:00:00,135.5,91.0,1277.0,55.0,38.2,19.0,0.42,15.0,0.0
6,2023-01-01 06:00:00,134.6,90.8,1647.0,60.2,38.2,18.0,0.39,14.0,0.0
7,2023-01-01 07:00:00,145.3,99.2,2166.0,67.5,38.3,16.0,0.39,13.0,0.05
8,2023-01-01 08:00:00,154.6,105.7,2539.0,71.9,40.3,23.0,0.39,11.0,0.45
9,2023-01-01 09:00:00,150.4,102.9,2278.0,66.8,44.7,41.0,0.37,10.0,1.3
10,2023-01-01 10:00:00,132.2,89.9,1743.0,57.3,50.8,67.0,0.37,9.0,2.4
11,2023-01-01 11:00:00,112.0,76.4,1133.0,45.7,57.1,100.0,0.39,8.0,3.2
12,2023-01-01 12:00:00,102.2,69.8,902.0,37.3,58.0,123.0,0.43,7.0,3.35
13,2023-01-01 13:00:00,96.6,66.4,764.0,29.4,57.2,146.0,0.46,6.0,2.75
14,2023-01-01 14:00:00,94.5,65.0,840.0,31.8,59.2,157.0,0.5,5.0,1.75
15,2023-01-01 15:00:00,93.1,64.0,1091.0,53.7,64.8,139.0,0.52,5.0,0.8
16,2023-01-01 16:00:00,94.5,65.2,1506.0,86.4,72.6,105.0,0.52,4.0,0.2
17,2023-01-01 17:00:00,152.3,105.2,2391.0,121.9,71.8,48.0,0.71,6.0,0.0
18,2023-01-01 18:00:00,201.6,139.7,3602.0,143.1,84.7,36.0,0.69,6.0,0.0
19,2023-01-01 19:00:00,244.9,170.0,5331.0,173.1,102.9,18.0,0.66,6.0,0.0
20,2023-01-01 20:00:00,283.1,196.5,7418.0,201.1,125.8,0.0,0.64,6.0,0.0
21,2023-01-01 21:00:00,314.8,218.9,8535.0,202.1,138.7,0.0,0.62,6.0,0.0
22,2023-01-01 22:00:00,339.9,236.6,9462.0,193.1,150.1,0.0,0.6,6.0,0.0
23,2023-01-01 23:00:00,354.8,246.8,10155.0,176.6,160.4,0.0,0.59,6.0,0.0
24,2023-01-02 00:00:00,357.6,248.7,10072.0,163.1,162.7,0.0,0.58,6.0,0.0
25,2023-01-02 01:00:00,354.8,246.8,9591.0,146.9,161.5,0.0,0.57,5.0,0.0
26,2023-01-02 02:00:00,348.3,243.1,8837.0,127.2,157.9,1.0,0.59,5.0,0.0
27,2023-01-02 03:00:00,340.9,237.0,8198.0,114.7,153.9,2.0,0.6,5.0,0.0
28,2023-01-02 04:00:00,332.5,231.4,7473.0,103.4,148.6,3.0,0.6,5.0,0.0
29,2023-01-02 05:00:00,300.8,209.1,5654.0,179.9,118.8,4.0,0.56,5.0,0.0
30,2023-01-02 06:00:00,326.0,226.8,6894.0,187.9,125.0,1.0,0.54,5.0,0.0
31,2023-01-02 07:00:00,357.6,248.7,8621.0,198.9,133.9,0.0,0.54,6.0,0.05
32,2023-01-02 08:00:00,394.9,274.7,9502.0,196.6,142.2,5.0,0.55,6.0,0.4
33,2023-01-02 09:00:00,338.1,235.6,7777.0,168.4,144.1,27.0,0.54,6.0,1.2
34,2023-01-02 10:00:00,215.1,149.0,4827.0,126.1,143.4,57.0,0.57,7.0,2.1
35,2023-01-02 11:00:00,155.5,107.3,1643.0,78.0,136.1,97.0,0.63,7.0,2.8
36,2023-01-02 12:00:00,138.8,95.7,839.0,56.2,121.2,126.0,0.67,7.0,2.9
37,2023-01-02 13:00:00,130.9,90.3,726.0,41.3,100.9,154.0,0.68,6.0,2.45
38,2023-01-02 14:00:00,124.8,85.9,1026.0,41.7,82.8,168.0,0.69,5.0,1.6
39,2023-01-02 15:00:00,123.4,85.0,1359.0,68.3,82.8,145.0,0.69,4.0,0.75
40,2023-01-02 16:00:00,132.7,92.0,1934.0,110.9,89.9,103.0,0.68,4.0,0.2
41,2023-01-02 17:00:00,180.2,125.3,2942.0,154.6,102.5,49.0,0.65,4.0,0.0
42,2023-01-02 18:00:00,233.3,162.1,4401.0,163.0,119.8,36.0,0.63,4.0,0.0
43,2023-01-02 19:00:00,283.1,197.0,6483.0,174.9,144.3,18.0,0.61,4.0,0.0
44,2023-01-02 20:00:00,328.8,229.1,8975.0,183.0,173.5,0.0,0.62,4.0,0.0
45,2023-01-02 21:00:00,364.1,254.3,10283.0,176.9,188.4,0.0,0.62,4.0,0.0
46,2023-01-02 22:00:00,391.2,272.9,11348.0,164.6,200.2,0.0,0.62,4.0,0.0
47,2023-01-02 23:00:00,405.1,283.1,12074.0,147.4,208.1,0.0,0.6,4.0,0.0
48,2023-01-03 00:00:00,403.3,281.3,11847.0,136.8,205.6,0.0,0.59,4.0,0.0
49,2023-01-03 01:00:00,393.0,274.7,11113.0,126.3,197.6,0.0,0.56,4.0,0.0
50,2023-01-03 02:00:00,377.2,262.6,9997.0,113.9,183.5,0.0,0.53,4.0,0.0
51,2023-01-03 03:00:00,355.8,248.7,9127.0,106.1,170.8,0.0,0.52,4.0,0.0
52,2023-01-03 04:00:00,333.4,232.4,8168.0,99.3,155.9,0.0,0.52,3.0,0.0
